tr175,tr943,tr1421
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.165901712750476,0.083798719335692,0.070768324992641
0.16597336022522,0.083827252637895,0.070817315481714
0.165723569947896,0.083738219282328,0.070683251783293
0.175902023173441,0.091589964250473,0.0725475333207
0.416935011709602,0.236480524391781,0.162988949307139
0.518596625766871,0.311994202198333,0.195576952008425
0.677583286278938,0.49750192159877,0.278124546378284
0.720010615711253,0.488719068413392,0.29281126673373
0.740782279545773,0.498552961605248,0.310535405872193
0.647219028021546,0.46879334257975,0.27643337029548
0.639749719615135,0.420831311661006,0.253360130636855
0.839250577465994,0.718164658051401,0.490763636363637
0.826055015917068,0.674312560453227,0.438704893722195
0.576463527742921,0.354681139755767,0.247953073444947
0.832827718345841,0.701165371809101,0.457929746761582
0.851127320954907,0.827931840962245,0.63441265060241
0.838425093938899,0.738535558562622,0.46124916051041
0.852304642326119,0.813320209973753,0.518727705112961
0.79746247872505,0.698744179483562,0.439588043205225
0.827954418678779,0.795351028741951,0.542649727767695
0.846643227858698,0.808276322376105,0.624291022882848
0.853601859024012,0.830097921319361,0.648
0.826020449239192,0.729815065403699,0.46862960924601
0.852919316211083,0.846403553733128,0.620010191948361
0.853650424081157,0.779682143970084,0.604454944313196
0.849151688224425,0.808453539080845,0.577627118644068
0.848550483172276,0.795511639591358,0.556680823260372
0.841807439460764,0.833590932509016,0.61722659042173
0.845753899480069,0.779446910208262,0.626410611760048
0.85340998170891,0.843667196608373,0.69916872612896
0.827530755005226,0.758694983071714,0.545890821835633
0.856362835755174,0.835826210826211,0.672176308539945
0.849066213921902,0.806260296540362,0.582050442188012
0.848413827739181,0.844173913043478,0.675460717749757
0.851027250064472,0.816598360655738,0.707239459029435
0.857963946703823,0.856428571428571,0.725929145837861
0.854690374003679,0.83353711790393,0.674008810572687
0.796691059497296,0.711564023039433,0.619352478507408
0.858990944372574,0.841591591591592,0.684566596194503
0.853074877776825,0.841463414634146,0.669265033407572
0.857348703170029,0.868166026695922,0.736908517350158
